Context,Actual,Response
"[SOC][USER]Hey man , you wanna buy some weed ? [triples]man IsA lover weed IsA name man SimilarTo woman man IsA person hey FormOf he man SimilarTo boy weed FormOf wee man IsA male man IsA adult[SYSTEM] Some what ? [triples]nan[USER] Weed ! You know ? Pot , Ganja , Mary Jane some chronic ! [triples]pot IsA pan pot IsA stake mary IsA saint pot IsA name weed IsA name mary IsA student pot IsA tool pot IsA belly mary HasA kids weed FormOf wee[EOC]","[SOR][SYSTEM] Oh , umm , no thanks . [EOR]",[SOR][SYSTEM] It's so beautiful! Go check out these tan sunroofs. [EOR]
"[SOC][USER] Weed ! You know ? Pot , Ganja , Mary Jane some chronic ! [triples]pot IsA pan pot IsA stake mary IsA saint pot IsA name weed IsA name mary IsA student pot IsA tool pot IsA belly mary HasA kids weed FormOf wee[SYSTEM] Oh , umm , no thanks . [triples]thanks FormOf thank umm IsA company oh FormOf o thanks IsA aid oh IsA base[USER] I also have blow if you prefer to do a few lines . [triples]lines FormOf line blow IsA stroke[EOC]","[SOR][SYSTEM] No , I am ok , really . [EOR]","[SOR][SYSTEM] OK, now, take one of my old knives and one of mine. ( Let's use my laser pointer ) Oh, it is called bison grunce. The pipes and end up so crawling! Actually, it"
"[SOC][USER] I also have blow if you prefer to do a few lines . [triples]lines FormOf line blow IsA stroke[SYSTEM] No , I am ok , really . [triples]ok FormOf okay ok IsA magazine[USER] Come on man ! I even got dope and acid ! Try some ! [triples]acid IsA drug dope IsA details acid IsA liquid acid IsA compound man SimilarTo woman man IsA person acid SimilarTo acidic man SimilarTo boy try IsA goal acid IsA chemical man IsA lover got FormOf get man IsA male man IsA adult[EOC]",[SOR][SYSTEM] Do you really have all of these drugs ? Where do you get them from ? [EOR],"[SOR][SYSTEM] Poor old squirrel! But I'm still in the mood, come on man! [EOR]"
[SOC][USER] Come on man ! I even got dope and acid ! Try some ! [triples]acid IsA drug dope IsA details acid IsA liquid acid IsA compound man SimilarTo woman man IsA person acid SimilarTo acidic man SimilarTo boy try IsA goal acid IsA chemical man IsA lover got FormOf get man IsA male man IsA adult[SYSTEM] Do you really have all of these drugs ? Where do you get them from ? [triples]drugs FormOf drug drugs IsA substances[USER] I got my connections ! Just tell me what you want and I ’ ll even give you one ounce for free . [triples]free SimilarTo unconstrained free SimilarTo clear ll FormOf will connections FormOf connection free IsA people[EOC],"[SOR][SYSTEM] Sounds good ! Let ’ s see , I want . [EOR]",[SOR][SYSTEM] Amazing! Gee! Here's the receipt from which you paid. [EOR]
"[SOC][USER] I got my connections ! Just tell me what you want and I ’ ll even give you one ounce for free . [triples]free SimilarTo unconstrained free SimilarTo clear ll FormOf will connections FormOf connection free IsA people[SYSTEM] Sounds good ! Let ’ s see , I want . [triples]sounds IsA magazine good SimilarTo redeeming good SimilarTo pleasing good SimilarTo superb let IsA lease good IsA quality good SimilarTo solid good SimilarTo nice good SimilarTo saving sounds FormOf sound good SimilarTo white good SimilarTo fortunate good IsA advantage good SimilarTo hot let IsA serve good SimilarTo satisfactory good SimilarTo complete[USER] Yeah ? [triples]nan[EOC]",[SOR][SYSTEM] I want you to put your hands behind your head ! You are under arrest ! [EOR],"[SOR][SYSTEM] Well, I'd like to market it for myself. Everyone we work with pairs us Excelsior together, so I know you are taking up the switch. [EOR]"
[SOC][USER]The taxi drivers are on strike again . [triples]strike IsA score strike IsA attack drivers FormOf driver strike IsA pitch taxi IsA car[SYSTEM] What for ? [triples]nan[USER] They want the government to reduce the price of the gasoline . [triples]price IsA cost government IsA organization gasoline IsA fluid gasoline IsA fuel price IsA reward government IsA system price IsA worth price IsA value gasoline IsA liquid[EOC],[SOR][SYSTEM] It is really a hot potato . [EOR],[SOR][SYSTEM] The price is going to go up. [EOR]
[SOC][USER]We've managed to reduce our energy consumption in our factory by about 15 per cent in the last two years . [triples]consumption IsA consume consumption IsA demand factory HasA workers cent IsA word energy IsA force factory IsA company energy IsA drive factory IsA plant[SYSTEM] That's excellent . How have you managed that ? [triples]managed FormOf manage[USER] Mainly because we've invested in a heat recovery system . [triples]heat Causes irritation invested FormOf invest recovery IsA act recovery IsA improvement heat IsA energy heat Causes heat heat Causes pain heat IsA race heat IsA temperature ve FormOf have[EOC],[SOR][SYSTEM] What does that mean exactly ? [EOR],[SOR][SYSTEM] And what about the rest? [EOR]
"[SOC][USER] Mainly because we've invested in a heat recovery system . [triples]heat Causes irritation invested FormOf invest recovery IsA act recovery IsA improvement heat IsA energy heat Causes heat heat Causes pain heat IsA race heat IsA temperature ve FormOf have[SYSTEM] What does that mean exactly ? [triples]does FormOf do mean IsA average mean SimilarTo skilled[USER] Well , we use the exhaust gases from our printing presses to provide energy to heat our dryers . [triples]dryers FormOf dryer exhaust IsA system heat Causes irritation gases FormOf gas heat IsA energy exhaust IsA waste heat Causes heat energy IsA force exhaust IsA gas heat Causes pain heat IsA race heat IsA temperature energy IsA drive[EOC]",[SOR][SYSTEM] What other sources of energy do you use ? [EOR],[SOR][SYSTEM] How do you do it? [EOR]
"[SOC][USER]Believe it or not , tea is the most popular beverage in the world after water . [triples]world HasA oceans world HasA continents tea IsA herb water HasA cycle world HasA life popular SimilarTo hot water IsA solvent water IsA life world IsA little water HasA oxygen popular SimilarTo favourite world IsA island water IsA food tea IsA meal water IsA utility water IsA element world HasA water tea IsA reception world IsA experience water IsA chemical world IsA class world IsA imagination tea IsA drink tea IsA beverage world IsA tiny water IsA beverage water IsA fluid world HasA atmosphere world HasA mountains tea HasA caffeine beverage IsA food world IsA everything world IsA group water HasA surface world IsA part water IsA water water IsA liquid water HasA weight beverage IsA liquid[SYSTEM] Well , people from Asia to Europe all enjoy tea . [triples]people IsA liars people IsA hairdressers people IsA teachers people HasA wants tea IsA herb people HasA skin people IsA not asia IsA continent people HasA sex people IsA greedy people HasA information people FormOf persons asia IsA collection people IsA psychologists people IsA persons people IsA managers people IsA celebrities people IsA politicians people HasA mission people IsA judges tea IsA meal people HasA consciousness people HasA teeth people IsA dancing people IsA extroverted tea IsA reception people IsA magazine people IsA scientists europe IsA station people HasA friends europe IsA collection people IsA criminals people HasA emotions people IsA chefs people IsA individuals people HasA person tea IsA drink europe IsA magazine tea IsA beverage people IsA parents people IsA better people FormOf person people HasA parents people IsA regularly people HasA manufactured people IsA family people HasA lifestyles people HasA ears people HasA names europe IsA continent people HasA eyes tea HasA caffeine people IsA entrepreneurs people IsA jerks people IsA group people IsA secretaries people IsA headaches people HasA brains people IsA physicians people HasA feelings people IsA everywhere people IsA lawyers people HasA muscles people HasA feet people IsA exercising people HasA rights people IsA less people HasA beliefs people HasA eat[USER] Right . And China is the homeland of tea . [triples]tea IsA herb right SimilarTo conservative right IsA position right SimilarTo outside china IsA country tea IsA meal right IsA turn right IsA norm right IsA interest tea IsA reception right IsA justice tea IsA drink right SimilarTo extraordinary tea IsA beverage right IsA hand right SimilarTo far china IsA name tea HasA caffeine right SimilarTo satisfactory homeland IsA land china IsA porcelain[EOC]","[SOR][SYSTEM] Yes , Chinese people love drinking tea so much . Some even claim they can't live without tea . [EOR]","[SOR][SYSTEM] Well, appreciate that, Mrs. Dupree! [EOR]"
"[SOC][USER] Right . And China is the homeland of tea . [triples]tea IsA herb right SimilarTo conservative right IsA position right SimilarTo outside china IsA country tea IsA meal right IsA turn right IsA norm right IsA interest tea IsA reception right IsA justice tea IsA drink right SimilarTo extraordinary tea IsA beverage right IsA hand right SimilarTo far china IsA name tea HasA caffeine right SimilarTo satisfactory homeland IsA land china IsA porcelain[SYSTEM] Yes , Chinese people love drinking tea so much . Some even claim they can't live without tea . [triples]people IsA hairdressers people IsA not claim IsA right claim IsA demand people IsA managers people IsA celebrities people IsA dancing people IsA criminals people IsA parents drinking Causes sickness chinese IsA chinese drinking Causes hangover people IsA physicians people IsA exercising chinese IsA person people HasA rights people IsA less people HasA beliefs people HasA muscles chinese IsA language people IsA liars chinese IsA asian people IsA teachers people FormOf persons people HasA emotions people HasA parents people HasA manufactured people HasA lifestyles people HasA names people HasA eyes tea HasA caffeine people IsA entrepreneurs drinking Causes swallow drinking Causes headaches chinese IsA human people HasA brains people HasA feelings people IsA everywhere people IsA lawyers people IsA greedy drinking Causes vomiting tea IsA herb people HasA sex people IsA politicians people HasA mission people IsA judges people HasA consciousness people HasA teeth people IsA extroverted tea IsA reception people HasA friends people IsA chefs people IsA individuals people HasA person people IsA jerks people IsA group people HasA feet drinking IsA consuming people HasA wants people HasA skin people HasA information drinking FormOf drink people IsA psychologists people IsA persons tea IsA meal people IsA magazine people IsA scientists tea IsA drink tea IsA beverage people IsA better drinking IsA conducting people FormOf person people IsA regularly drinking IsA consumption people IsA family people HasA ears people IsA secretaries people IsA headaches people HasA eat[USER] Do you know there are several catagories of Chinese tea ? [triples]chinese IsA asian tea IsA beverage chinese IsA human tea IsA herb chinese IsA language tea IsA meal tea IsA reception know IsA knowing tea HasA caffeine chinese IsA chinese chinese IsA person tea IsA drink[EOC]","[SOR][SYSTEM] Yes , I believe there are green teas , black teas and scented teas . Any Others ? [EOR]","[SOR][SYSTEM] Not much. Besides, China has done a very good job in cleaning out the houses when they sell china. [EOR]"
