Context,Actual,Response
[SOC][User]I would like a taxi from Saint John's college to Pizza Hut Fen Ditton.[slots]pizza hut fen ditton saint john 's college[Bot]What time do you want to leave and what time do you want to arrive by?[slots][User]I want to leave after 17:15.[slots]17:15[EOC],"[Bot]
Booking completed! your taxi will be blue honda Contact number is 07218068540","[SOR][Bot]Your taxi has been booked! Be expecting a grey Volvo. Please call 07406309625 to contact them about your arrival.
"
"[SOC][User]I want to leave after 17:15.[slots]17:15[Bot]
Booking completed! your taxi will be blue honda Contact number is 07218068540[slots]blue honda 07218068540[User]Thank you for all the help! I appreciate it.[slots][EOC]",[Bot]You are welcome.  Is there anything else I can help you with today?,[SOR][Bot]Have a wonderful trip.
"[SOC][User]Thank you for all the help! I appreciate it.[slots][Bot]You are welcome.  Is there anything else I can help you with today?[slots][User]No, I am all set.  Have a nice day.  Bye.[slots][EOC]",[Bot]you too! thank you,[SOR][Bot]Have a nice day too and thanks for using Cambridge TownInfo centre.  Goodbye.
[SOC][User]Please find a restaurant called Nusha.[slots]Nusha[Bot]I don't seem to be finding anything called Nusha.  What type of food does the restaurant serve?[slots]Nusha[User]I am not sure of the type of food but could you please check again and see if you can find it? Thank you.[slots][EOC],[Bot]Could you double check that you've spelled the name correctly? The closest I can find is Nandos.,[SOR][Bot]The phone number for Nusha is 01223452587. It is a chinese restruarant. Would you like me to make any reservations for you?
"[SOC][User]I am not sure of the type of food but could you please check again and see if you can find it? Thank you.[slots][Bot]Could you double check that you've spelled the name correctly? The closest I can find is Nandos.[slots]Nandos[User]It's not a restaurant, it's an attraction. Nusha.[slots]nusha[EOC]","[Bot]oh its okay. that is an entertainment type located in the south at unit g6, cambridge leisure park, clifton road. do you need their phone number?","[SOR][Bot]It's the Cambridge artworks, in the East. What would you like to know about it? "
"[SOC][User]It's not a restaurant, it's an attraction. Nusha.[slots]nusha[Bot]oh its okay. that is an entertainment type located in the south at unit g6, cambridge leisure park, clifton road. do you need their phone number?[slots]entertainment unit g6 cambridge leisure park clifton road south[User]No, but please confirm their address again and their postcode. [slots][EOC]","[Bot]Their address is Unit g6, Cambridge Leisure Park, Clifton road. The postcode is CB17DY. Is their anything else I can do for you?",[SOR][Bot]It is located between victoria road and the river at postcode cb17dy.  Is there anything else I can assist you with?
"[SOC][User]No, but please confirm their address again and their postcode. [slots][Bot]Their address is Unit g6, Cambridge Leisure Park, Clifton road. The postcode is CB17DY. Is their anything else I can do for you?[slots]CB17DY Unit g6 Cambridge Leisure Park Clifton road .[User]I want Indian food in the center area. [slots]indian centre[EOC]",[Bot]There are nine Indian restaurants in centre what price range do you want?,[SOR][Bot]I'm sorry. They're not matching your request. Would you like to try another area?
[SOC][User]I want Indian food in the center area. [slots]indian centre[Bot]There are nine Indian restaurants in centre what price range do you want?[slots]Indian centre nine[User]I am looking for expensive Indian food.[slots]indian expensive[EOC],[Bot]saffron brasserie is an expensive restaurant that serves italian food,[SOR][Bot]The Curry garden is in the central area.  Would you like me to book a table for you?
[SOC][User]I am looking for expensive Indian food.[slots]indian expensive[Bot]saffron brasserie is an expensive restaurant that serves italian food[slots]expensive italian saffron brasserie[User]Can I get the address for saffron brasserie?[slots]saffron brasserie[EOC],[Bot]the address is Hills Road City Centre	,[SOR][Bot]I am sorry but there is no listing available. Can I assist you with something else? 
[SOC][User]Can I get the address for saffron brasserie?[slots]saffron brasserie[Bot]the address is Hills Road City Centre	[slots]Hills Road City Centre[User]Can I clarify that it was Indian food and not Italian food please?[slots][EOC],"[Bot]Yes, saffron brasserie is Indian food.",[SOR][Bot]I'm afraid that's all I have for you today. 
