Context,Actual,Response
[SOC][User]I would like a taxi from Saint John's college to Pizza Hut Fen Ditton.[dialog_acts]Taxi-Inform[Bot]What time do you want to leave and what time do you want to arrive by?[dialog_acts]Taxi-Request[User]I want to leave after 17:15.[dialog_acts]Taxi-Inform[EOC],"[Bot]
Booking completed! your taxi will be blue honda Contact number is 07218068540",[SOR][Bot]Great. You want to leave from riverboat georgina?
"[SOC][User]I want to leave after 17:15.[dialog_acts]Taxi-Inform[Bot]
Booking completed! your taxi will be blue honda Contact number is 07218068540[dialog_acts]Taxi-Inform[User]Thank you for all the help! I appreciate it.[dialog_acts]general-thank[EOC]",[Bot]You are welcome.  Is there anything else I can help you with today?,[SOR][Bot]You're welcome. Have a wonderful day! Goodbye.
"[SOC][User]Thank you for all the help! I appreciate it.[dialog_acts]general-thank[Bot]You are welcome.  Is there anything else I can help you with today?[dialog_acts]general-reqmore[User]No, I am all set.  Have a nice day.  Bye.[dialog_acts]general-bye[EOC]",[Bot]you too! thank you,[SOR][Bot]Thank you for contacting us and have a nice day.
[SOC][User]Please find a restaurant called Nusha.[dialog_acts]Restaurant-Inform Attraction-Inform[Bot]I don't seem to be finding anything called Nusha.  What type of food does the restaurant serve?[dialog_acts]Restaurant-Request Restaurant-NoOffer[User]I am not sure of the type of food but could you please check again and see if you can find it? Thank you.[dialog_acts]general-thank[EOC],[Bot]Could you double check that you've spelled the name correctly? The closest I can find is Nandos.,[SOR][Bot]the nusha servers chinese food.
"[SOC][User]I am not sure of the type of food but could you please check again and see if you can find it? Thank you.[dialog_acts]general-thank[Bot]Could you double check that you've spelled the name correctly? The closest I can find is Nandos.[dialog_acts]Restaurant-Request Restaurant-Inform[User]It's not a restaurant, it's an attraction. Nusha.[dialog_acts]Attraction-Inform[EOC]","[Bot]oh its okay. that is an entertainment type located in the south at unit g6, cambridge leisure park, clifton road. do you need their phone number?",[SOR][Bot]Reference number is : UXIT2431Y.
"[SOC][User]It's not a restaurant, it's an attraction. Nusha.[dialog_acts]Attraction-Inform[Bot]oh its okay. that is an entertainment type located in the south at unit g6, cambridge leisure park, clifton road. do you need their phone number?[dialog_acts]general-reqmore Attraction-Inform[User]No, but please confirm their address again and their postcode. [dialog_acts]Attraction-Request[EOC]","[Bot]Their address is Unit g6, Cambridge Leisure Park, Clifton road. The postcode is CB17DY. Is their anything else I can do for you?",[SOR][Bot]01223300085. Anything else I can help with? 
"[SOC][User]No, but please confirm their address again and their postcode. [dialog_acts]Attraction-Request[Bot]Their address is Unit g6, Cambridge Leisure Park, Clifton road. The postcode is CB17DY. Is their anything else I can do for you?[dialog_acts]general-reqmore Attraction-Inform[User]I want Indian food in the center area. [dialog_acts]Restaurant-Inform[EOC]",[Bot]There are nine Indian restaurants in centre what price range do you want?,[SOR][Bot]Unfortunately I am not seeing any eritrean eritrean thanrian restaurants in town. 
[SOC][User]I want Indian food in the center area. [dialog_acts]Restaurant-Inform[Bot]There are nine Indian restaurants in centre what price range do you want?[dialog_acts]Restaurant-Request Restaurant-Inform[User]I am looking for expensive Indian food.[dialog_acts]Restaurant-Inform[EOC],[Bot]saffron brasserie is an expensive restaurant that serves italian food,[SOR][Bot]What area would you like?
[SOC][User]I am looking for expensive Indian food.[dialog_acts]Restaurant-Inform[Bot]saffron brasserie is an expensive restaurant that serves italian food[dialog_acts]Restaurant-Inform[User]Can I get the address for saffron brasserie?[dialog_acts]Restaurant-Inform Restaurant-Request[EOC],[Bot]the address is Hills Road City Centre	,"[SOR][Bot]Yes certainly, the address is 529 Newmarket Road Fen Ditton and the postcode is C.B 4, 8 P.A"
[SOC][User]Can I get the address for saffron brasserie?[dialog_acts]Restaurant-Inform Restaurant-Request[Bot]the address is Hills Road City Centre	[dialog_acts]Restaurant-Inform[User]Can I clarify that it was Indian food and not Italian food please?[dialog_acts][EOC],"[Bot]Yes, saffron brasserie is Indian food.",[SOR][Bot]Yes it was.
"[SOC][User]Can I clarify that it was Indian food and not Italian food please?[dialog_acts][Bot]Yes, saffron brasserie is Indian food.[dialog_acts]Restaurant-Inform[User]Thank you that is all the information I need at the moment. [dialog_acts]general-thank[EOC]",[Bot]i hope i have been of help,[SOR][Bot]Can I help you with anything else today?
[SOC][User]Thank you that is all the information I need at the moment. [dialog_acts]general-thank[Bot]i hope i have been of help[dialog_acts]general-bye[User]You have. Thank you. Goodbye.[dialog_acts]general-thank[EOC],[Bot]I am glad to help. Enjoy your stay !,[SOR][Bot]Have a good stay in Cambridge.  Goodbye.
[SOC][User]I want to find a moderately priced restaurant. [dialog_acts]Restaurant-Inform[Bot]I have many options available for you! Is there a certain area or cuisine that interests you?[dialog_acts]Restaurant-Request Restaurant-Inform[User]Yes I would like the restaurant to be located in the center of the attractions. [dialog_acts]Restaurant-Inform[EOC],[Bot]There are 21 restaurants available in the centre of town. How about a specific type of cuisine?,[SOR][Bot]I  cant find a restaurant fitting this specification.  Would you be interested in in an earlier or different area?
[SOC][User]Yes I would like the restaurant to be located in the center of the attractions. [dialog_acts]Restaurant-Inform[Bot]There are 21 restaurants available in the centre of town. How about a specific type of cuisine?[dialog_acts]Restaurant-Request Restaurant-Inform[User]i need to know the food type and postcode and it should also have mutliple sports[dialog_acts]Restaurant-Request[EOC],[Bot]I am sorry I do not understand what you just said. Please repeat in a way that makes sense. ,[SOR][Bot]Queens Noodle Bar serves located in the center and  their postcode is cb41da and can be reached at 01223307402.
[SOC][User]i need to know the food type and postcode and it should also have mutliple sports[dialog_acts]Restaurant-Request[Bot]I am sorry I do not understand what you just said. Please repeat in a way that makes sense. [dialog_acts]general-reqmore[User]get me the food type and the post code[dialog_acts]Restaurant-Request[EOC],[Bot]My favorite it The Copper Kettle at 4 Kings Parade City Centre CB21SJ.  It serves British food.  Does that interest you?,[SOR][Bot]cerqa is a Turkish restaurant and the postcode is cb17dy. Is there anything else I may assist you with today?
"[SOC][User]get me the food type and the post code[dialog_acts]Restaurant-Request[Bot]My favorite it The Copper Kettle at 4 Kings Parade City Centre CB21SJ.  It serves British food.  Does that interest you?[dialog_acts]Restaurant-Select Restaurant-Inform[User]Absolutely! Thank you! I also need information on the attractions that have multiple sports in town, in the same area as the restaurant please. [dialog_acts]Attraction-Inform[EOC]",[Bot]The only multiple sports attraction is located in the east of town. Would you like more information?,"[SOR][Bot]There are 11 possible sports in the centre part of town. Unfortunately, they are all totes afraid to list[SOC][User]Absolutely! Thank you! I also need information on the attractions that have multiple sports in town, in the same area as"
"[SOC][User]Absolutely! Thank you! I also need information on the attractions that have multiple sports in town, in the same area as the restaurant please. [dialog_acts]Attraction-Inform[Bot]The only multiple sports attraction is located in the east of town. Would you like more information?[dialog_acts]general-reqmore Attraction-Inform[User]No, I want to be in the centre of town. What about architecture attractions?[dialog_acts]Attraction-Inform[EOC]",[Bot]All Saints Church is an architectural attraction. It is in the Centre of town and entrance is free!,"[SOR][Bot]Yes, there are 5 parks in that area. All have free entrance. Would you like a mention of one you would like to visit?"
"[SOC][User]No, I want to be in the centre of town. What about architecture attractions?[dialog_acts]Attraction-Inform[Bot]All Saints Church is an architectural attraction. It is in the Centre of town and entrance is free![dialog_acts]Attraction-Inform[User]Can I get their phone number and address please?[dialog_acts]Attraction-Request[EOC]",[Bot]Their phone number is 01223452587. Is there anything else I can assist you with?,[SOR][Bot]Sure thing it's 01223334900 and their phone number is 	01223334900. Is there anything else I can help you with?
"[SOC][User]Can I get their phone number and address please?[dialog_acts]Attraction-Request[Bot]Their phone number is 01223452587. Is there anything else I can assist you with?[dialog_acts]general-reqmore Attraction-Inform[User]Oh, what type of architecture is it?[dialog_acts][EOC]",[Bot]it is architecture type. anything else?,[SOR][Bot]It is a museum in the center of town and they can be reached at 01223336265. Anything else I can help you with?
